sku,canonical_sku,legacy_sku_aliases,parent_sku,product_group_id,group_key,grouping_confidence,canonical_variant,variant_role,status,record_state,active,review_required,brand,catalog_line,category_primary,series,series_code,volume,work_title,product_kind,product_type,instrument,voice,transposition,register,clef,ensemble,scoring,voice_count,arrangement_variant,format,title_full,title_short,code_short,description,content_status,content_source,bullet_point_1,bullet_point_2,bullet_point_3,bullet_point_4,bullet_point_5,tags,price_net,vat_percent,price_gross,currency,price_source,stock_on_hand,stock_enabled,weight_grams,isbn13,isbn10,ean,asin,asin_source,asin_verified,fnsku,fnsku_status,amazon_seller_sku,amazon_status,amazon_product_type,amazon_product_id_type,amazon_product_id,amazon_fulfillment,amazon_quantity,amazon_title,amazon_item_name,amazon_description_html,sync_wix,wix_publish_eligible,wix_handle_id,wix_handle_ids_all,wix_visible,wix_collections,wix_media_urls,wix_description_html,sync_sevdesk,erp_category,sync_amazon,source_title_xlsx,source_title_wix,source_title_erp,title_source,source_of_truth,sot_row,sot_status,derived_from_sku,channel_cleanup_required,channel_cleanup_notes,conflict_flags,conflict_notes
XW-001,XW-001,,,dcc7123f-41f0-5c68-bbf1-4bb8b993a2cc,DIENSTLEISTUNG|versand ö,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Versand Ö,SERVICE,physical,,,,,,,,,,PHYSICAL,Versand Ö,Versand Ö,VERSAND_OE,Versand Ö ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,3.55,10.00,3.91,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Versand Ö,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-002,XW-002,,,653a421b-cca8-5a44-a834-74d8b5c398d4,DIENSTLEISTUNG|gutschrift,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Gutschrift,SCORE,physical,,,,,,,,,,PHYSICAL,Gutschrift,Gutschrift,GUTSCHRIFT,Gutschrift ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Standard,false,,,Gutschrift,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-003,XW-003,,,1297e37e-5b36-5b00-88d4-71a2f6156b00,DIENSTLEISTUNG|händler-versand ermäßigt ö,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Händler-Versand ermäßigt Ö,SERVICE,physical,,,,,,,,,,PHYSICAL,Händler-Versand ermäßigt Ö,Händler-Versand ermäßigt Ö,HAENDLER_VERSAND_ERMAESSIGT,Händler-Versand ermäßigt Ö ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,3.00,10.00,3.30,EUR,ERP_NET,-3.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Händler-Versand ermäßigt Ö,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-004,XW-004,,,7e49722f-b700-56ba-89b7-4b99ecce07c8,DIENSTLEISTUNG|ton- und bildaufnahme,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Ton- und Bildaufnahme,SERVICE,physical,,,,,,,,,,PHYSICAL,Ton- und Bildaufnahme,Ton- und Bildaufnahme,TON_UND_BILDAUFNAHME,Ton- und Bildaufnahme ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Künstlerischer Auftritt,false,,,Ton- und Bildaufnahme,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-005,XW-005,,,d4816dfb-5e71-5fa2-931a-8ed419932af1,DIENSTLEISTUNG|express-versand,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Express-Versand,SERVICE,physical,,,,,,,,,,PHYSICAL,Express-Versand,Express-Versand,EXPRESS_VERSAND,Express-Versand ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,5.36,10.00,5.90,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Express-Versand,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-006,XW-006,,,66f4e82b-fdaf-5934-b16d-f0ce3b5aa36d,DIENSTLEISTUNG|versand eu,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Versand EU,SERVICE,physical,,,,,,,,,,PHYSICAL,Versand EU,Versand EU,VERSAND_EU,Versand EU ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,5.36,10.00,5.90,EUR,ERP_NET,-1.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Versandoption,false,,,Versand EU,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-007,XW-007,,XW-1200,aaf07e00-f50e-5eeb-8d65-17da3f1be3f4,NOTEN|einzelstücke,LOW,false,FORMAT_VARIANT|LEGACY_VARIANT,live,ACTIVE,true,false,,Sonstige,Noten,,,,Einzelstücke,SCORE,digital,,,,,,,,,,PRINT_AT_HOME,Einzelstücke,Einzelstücke,EINZELSTUECKE_P,Einzelstücke ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,Kategorie: Noten,,,,,13.55,10.00,14.91,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,true,,,,,,,true,XeisWorks_Print@Home,false,,,Einzelstücke,CHANNEL_TITLE_MATCH_TO_XLSX_SOT,Produktpalette(2).xlsx:XeisWorks,46,DERIVED_TITLE_MATCH,XW-1200,false,,,
XW-008,XW-008,,XW-200,22304ff1-bffd-5a04-81cf-618fd02de952,NOTEN|ersatzheft,LOW,false,LEGACY_VARIANT,live,ACTIVE,true,false,,Sonstige,Noten,,,,Ersatzheft,REPLACEMENT_BOOK,physical,,,,,,,,,,PHYSICAL,Ersatzheft,Ersatzheft,ERSATZHEFT,Ersatzheft ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Noten,,,,,12.00,10.00,13.20,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,true,,,,,,,true,XeisWorks_Hefte,false,,,Ersatzheft,CHANNEL_TITLE_MATCH_TO_XLSX_SOT,Produktpalette(2).xlsx:XeisWorks,6,DERIVED_TITLE_MATCH,XW-200,false,,,
XW-009,XW-009,,,4bc8f471-6a24-5663-91c5-c738fcecf28c,DIENSTLEISTUNG|transposition,LOW,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Dienstleistung,,,,Transposition,SERVICE,physical,,,,,,,,,,PHYSICAL,Transposition,Transposition,TRANSPOSITION,Transposition ist ein interner Dienstleistungs- bzw. Abrechnungsartikel im XW Product Hub.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,Kategorie: Dienstleistung,,,,,50.00,10.00,55.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,false,false,,,,,,,true,Dienstleistung,false,,,Transposition,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
XW-010,XW-010,,,e2a7ddcc-e717-5012-87e0-72458fa61c2d,NOTEN|div. noten unveröffentlicht,MEDIUM,true,CANONICAL,live,EXTERNAL_ONLY,true,false,,Sonstige,Noten,,,,Div. Noten unveröffentlicht,SCORE,physical,,,,,,,,,,PHYSICAL,Div. Noten unveröffentlicht,Div. Noten unveröffentlicht,DIV_NOTEN_UNVEROEFFENTLICHT,Diverse Noten unveröffentlicht,SOURCE,WIX,Diverse Noten unveröffentlicht,,,,,B2B,45.00,10.00,49.50,EUR,ERP_NET,0.00,false,175.0,,,,,,,,,,,,,,,,,,,true,false,product_3f1065f7-27be-d9a6-dbf4-9a6e27cbfaa9,product_3f1065f7-27be-d9a6-dbf4-9a6e27cbfaa9,true,Unveröffentlicht|B2B,4f718e_1c736f0082fe401e8687d62563fdfdba~mv2.jpg,<p>Diverse Noten unveröffentlicht</p>,true,Unveröffentlichte Noten,false,,Diverse Noten unveröffentlicht,Div. Noten unveröffentlicht,ERP_FALLBACK,,,EXTERNAL,,false,,,Operational/sevdesk-only item; intentionally not required in the sale catalog.
