alias_sku,canonical_sku,reason,source_wix,source_sevdesk,source_title_wix,source_title_erp
XW-400,XW-4000,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Div. Blechhaufn-Noten
XW-400.1,XW-4000.1,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Zusatzstimme BH-Noten
XW-401,XW-4001,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,#1 Kirchen-7er
XW-401.2,XW-4001.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,#1 Kirchen-7er
XW-401.4,XW-4001.4,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,ZST Kirchen7er: Hrn1 in F
XW-401.5,XW-4001.5,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,ZST Kirchen7er: Hrn.2 in F
XW-401.6,XW-4001.6,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,ZST Kirchen7er: Hrn.3 in F
XW-402,XW-4002,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,#2 Advent-7er
XW-402.2,XW-4002.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,#2 Advent-7er
XW-403,XW-4003,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,In Gedanken bin i bei dir,In Gedanken bin i bei dir
XW-403.2,XW-4003.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,In Gedanken bin i bei dir
XW-404,XW-4004,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Übermorgen,Übermorgen
XW-405,XW-4005,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Bin's a junger Witwer,Bin's a junger Witwer
XW-405.2,XW-4005.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Bin's a junger Witwer
XW-406,XW-4006,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Urlaubspolka,Urlaubspolka
XW-406.2,XW-4006.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Urlaubspolka
XW-407,XW-4007,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,false,30'er-Polka,
XW-407.2,XW-4007.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,30er-Polka
XW-408,XW-4008,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,false,Pfoarramadl,
XW-408.2,XW-4008.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Pfoarramadl
XW-409,XW-4009,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Am Kamin,Am Kamin
XW-409.1,XW-4009.1,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Am Kamin
XW-409.2,XW-4009.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Am Kamin
XW-410,XW-4010,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Anna Polka,Anna-Polka
XW-410.2,XW-4010.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Anna-Polka
XW-411,XW-4011,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,April Polka,April Polka
XW-411.2,XW-4011.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,April Polka
XW-412,XW-4012,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Auf da Hulzg'stettn,Auf da Hulzgstett'n
XW-412.1,XW-4012.1,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Auf da Hulzgs'tettn
XW-413,XW-4013,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,false,Bagatelle,
XW-413.2,XW-4013.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Bagatelle
XW-414,XW-4014,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Banjo Boy,Banjo Boy
XW-415,XW-4015,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,BH Polka,BH Polka
XW-416,XW-4016,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Blondinen Walzer,Blondinen Walzer
XW-416.2,XW-4016.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Blondinen Walzer
XW-417,XW-4017,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Breznicka Polka,Breznicka Polka
XW-418,XW-4018,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Das Glühwürmchen,Das Glühwürmchen
XW-418.2,XW-4018.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Das Glühwürmchen
XW-419,XW-4019,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Das Oppossum,Das Oppossum
XW-420,XW-4020,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,false,Der Feuersalamander,
XW-421,XW-4021,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Der Schließer,Der Schließer
XW-422,XW-4022,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Der Schmetterling,Der Schmetterling
XW-423,XW-4023,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,false,Die Akute,
XW-424,XW-4024,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Erinnerungen an Brennberg
XW-424.2,XW-4024.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Erinnerungen an Brennberg
XW-424.3,XW-4024.3,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Erinnerungen an Brennberg
XW-425,XW-4025,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Fliegermarsch,Fliegermarsch
XW-426,XW-4026,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Arnhem,Arnhem
XW-427,XW-4027,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Für Oma,Für Oma
XW-427.2,XW-4027.2,LEGACY_XW4_3DIGIT_TO_4DIGIT,false,true,,Für Oma
XW-428,XW-4028,LEGACY_XW4_3DIGIT_TO_4DIGIT,true,true,Für schöne Stunden,Für schöne Stunden
