sku,parent_sku,product_group_id,group_key,grouping_confidence,status,record_state,active,brand,catalog_line,category_primary,series,series_code,volume,work_title,product_kind,product_type,instrument,voice,transposition,register,clef,ensemble,scoring,voice_count,format,title_full,title_short,code_short,description,content_status,content_source,bullet_point_1,bullet_point_2,bullet_point_3,bullet_point_4,bullet_point_5,tags,price_net,vat_percent,price_gross,currency,price_source,stock_on_hand,stock_enabled,weight_grams,isbn13,isbn10,ean,asin,asin_source,asin_verified,fnsku,fnsku_status,amazon_seller_sku,amazon_status,amazon_product_type,amazon_product_id_type,amazon_product_id,amazon_fulfillment,amazon_quantity,amazon_title,amazon_item_name,amazon_description_html,wix_handle_id,wix_visible,wix_collections,wix_media_urls,wix_description_html,erp_category,source_title_xlsx,source_title_wix,source_title_erp,title_source,source_of_truth,sot_row,conflict_flags,conflict_notes
XW-001,,eeadeadb-6a99-561f-a042-507fde9dd2e0,WORK|versand oe,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Versand Ö,SERVICE,physical,,,,,,,,,PHYSICAL,Versand Ö,Versand Ö,VERSAND_OE,Versand Ö ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,3.55,10.00,3.91,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Versand Ö,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-002,,bcc77f83-4fa3-583c-8655-88e21d1a3e49,WORK|gutschrift,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Gutschrift,SCORE,physical,,,,,,,,,PHYSICAL,Gutschrift,Gutschrift,GUTSCHRIFT,Gutschrift ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,,,,,,Standard,,,Gutschrift,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-003,,0f529e50-6deb-579e-9cb7-4ebc027436a7,WORK|haendler versand ermaessigt oe,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Händler-Versand ermäßigt Ö,SERVICE,physical,,,,,,,,,PHYSICAL,Händler-Versand ermäßigt Ö,Händler-Versand ermäßigt Ö,HAENDLER_VERSAND_ERMAESSIGT_,Händler-Versand ermäßigt Ö ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,3.00,10.00,3.30,EUR,ERP_NET,-3.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Händler-Versand ermäßigt Ö,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-004,,fc30695b-0302-5ef6-acf0-1930a67353ea,WORK|ton und bildaufnahme,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Ton- und Bildaufnahme,SERVICE,physical,,,,,,,,,PHYSICAL,Ton- und Bildaufnahme,Ton- und Bildaufnahme,TON_UND_BILDAUFNAHME,Ton- und Bildaufnahme ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,0.00,10.00,0.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Künstlerischer Auftritt,,,Ton- und Bildaufnahme,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-005,,cca74263-de91-5fb2-8d27-c17521b466fc,WORK|express versand,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Express-Versand,SERVICE,physical,,,,,,,,,PHYSICAL,Express-Versand,Express-Versand,EXPRESS_VERSAND,Express-Versand ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,5.36,10.00,5.90,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Express-Versand,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-006,,c4ad1af5-fc41-53b0-9f9e-1adb3dbd02da,WORK|versand eu,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Versand EU,SERVICE,physical,,,,,,,,,PHYSICAL,Versand EU,Versand EU,VERSAND_EU,Versand EU ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,5.36,10.00,5.90,EUR,ERP_NET,-1.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Versand EU,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-007,,50069221-6bb9-5c82-bd3d-4d42f9824905,WORK|einzelstuecke,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Einzelstücke,SCORE,digital,,,,,,,,,PRINT_AT_HOME,Einzelstücke,Einzelstücke,EINZELSTUECKE_P,Einzelstücke ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,,,,,,13.55,10.00,14.91,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,XeisWorks_Print@Home,,,Einzelstücke,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-008,,414240be-4776-5d3e-b925-ea8dc87e084c,WORK|ersatzheft,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Ersatzheft,REPLACEMENT_BOOK,physical,,,,,,,,,PHYSICAL,Ersatzheft,Ersatzheft,ERSATZHEFT,Ersatzheft ist ein Produkt im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,12.00,10.00,13.20,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,XeisWorks_Hefte,,,Ersatzheft,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-009,,ba1b0635-04fe-52d2-96a3-6b0ae9bae717,WORK|transposition,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Transposition,SERVICE,physical,,,,,,,,,PHYSICAL,Transposition,Transposition,TRANSPOSITION,Transposition ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,50.00,10.00,55.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Dienstleistung,,,Transposition,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-010,,f09f0a9a-f216-5994-86c6-f82d8984654a,WORK|div noten unveroeffentlicht,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Div. Noten unveröffentlicht,SCORE,physical,,,,,,,,,PHYSICAL,Div. Noten unveröffentlicht,Div. Noten unveröffentlicht,DIV_NOTEN_UNVEROEFFENTLICHT,Diverse Noten unveröffentlicht,SOURCE,WIX,Diverse Noten unveröffentlicht,,,,,B2B,45.00,10.00,49.50,EUR,ERP_NET,0.00,false,175.0,,,,,,,,,,,,,,,,,,,product_3f1065f7-27be-d9a6-dbf4-9a6e27cbfaa9,true,Unveröffentlicht|B2B,4f718e_1c736f0082fe401e8687d62563fdfdba~mv2.jpg,<p>Diverse Noten unveröffentlicht</p>,Unveröffentlichte Noten,,Diverse Noten unveröffentlicht,Div. Noten unveröffentlicht,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT|PRICE_DRIFT_WIX,"Wix gross=45.00, master gross=49.50"
XW-011,,85dcd07b-e268-5373-8900-e82928b79d31,WORK|div noten nicht mehr erhaeltlich,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Div. Noten nicht mehr erhältlich,SCORE,physical,,,,,,,,,PHYSICAL,Div. Noten nicht mehr erhältlich,Div. Noten nicht mehr erhältlich,DIV_NOTEN_NICHT_MEHR_ERHAELT,Diverse Noten eingestellt,SOURCE,WIX,Diverse Noten eingestellt,,,,,B2B,36.27,10.00,39.90,EUR,ERP_NET,0.00,true,175.0,,,,,,,,,,,,,,,,,,,product_62b061fc-f2b1-06e3-70f9-975fce024e38,true,Unveröffentlicht|B2B,4f718e_1c736f0082fe401e8687d62563fdfdba~mv2.jpg,<p>Diverse Noten eingestellt</p>,Unveröffentlichte Noten,,Diverse Noten eingestellt,Div. Noten nicht mehr erhältlich,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-012,,ce6ebaec-2bcf-50c4-99ac-76176fb55381,WORK|transkription,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Transkription,SERVICE,physical,,,,,,,,,PHYSICAL,Transkription,Transkription,TRANSKRIPTION,Transkription ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,50.00,10.00,55.00,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Dienstleistung,,,Transkription,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-013,,7f706f30-15e3-5de8-b1ba-30805f201772,WORK|haendler versand ermaessigt d,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Händler-Versand ermäßigt D,SERVICE,physical,,,,,,,,,PHYSICAL,Händler-Versand ermäßigt D,Händler-Versand ermäßigt D,HAENDLER_VERSAND_ERMAESSIGT_,Händler-Versand ermäßigt D ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,5.00,10.00,5.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Händler-Versand ermäßigt D,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-014,,f3901d37-d8be-5153-ae39-226279593255,WORK|haendlerversand ermaessigt eu,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Händlerversand ermäßigt EU,SERVICE,physical,,,,,,,,,PHYSICAL,Händlerversand ermäßigt EU,Händlerversand ermäßigt EU,HAENDLERVERSAND_ERMAESSIGT_E,Händlerversand ermäßigt EU ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,5.00,10.00,5.50,EUR,ERP_NET,-1.00,true,,,,,,,,,,,,,,,,,,,,,,,,,Versandoption,,,Händlerversand ermäßigt EU,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-015,,fa12f38b-bdca-5f00-a656-46cc777c393b,WORK|diverse noten blaeser4tett,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Dienstleistung,,,,Diverse Noten Bläser4tett,SERVICE,physical,,,,,,,,,PHYSICAL,Diverse Noten Bläser4tett,Diverse Noten Bläser4tett,DIVERSE_NOTEN_BLAESER4TETT,Diverse Noten Bläser4tett ist eine Dienstleistungsposition im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PHYSICAL,,,,,,150.00,10.00,165.00,EUR,ERP_NET,0.00,false,,,,,,,,,,,,,,,,,,,,,,,,,Dienstleistung,,,Diverse Noten Bläser4tett,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-016,,16e77eac-23a3-502b-87a8-5b90a8bab691,WORK|diverse noten kleine besetzung,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Diverse Noten Kleine Besetzung,SCORE,digital,,,,,,Kleine Besetzung,,,PRINT_AT_HOME,Diverse Noten Kleine Besetzung [Kleine Besetzung],Diverse Noten Kleine Besetzung [Kl.Bes.],DIVERSE_NOTEN_KLEINE_BESETZU_KB_P,Diverse Noten Kleine Besetzung [Kleine Besetzung] ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Besetzung: Kleine Besetzung,Format: PRINT_AT_HOME,,,,,175.00,10.00,192.50,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,XeisWorks_Print@Home,,,Diverse Noten Kleine Besetzung,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
XW-017,,e415751f-7171-57dc-9c31-5cb091c0dcfe,WORK|zusatzstimme individuell,EXACT_NORMALIZED_TITLE,review,EXTERNAL_ONLY,true,,Sonstige,Noten,,,,Zusatzstimme individuell,SCORE,digital,,,,,,,,,PRINT_AT_HOME,Zusatzstimme individuell,Zusatzstimme individuell,ZUSATZSTIMME_INDIVIDUELL_P,Zusatzstimme individuell ist eine Notenausgabe im XeisWorks-Produktkatalog.,AUTO_DRAFT,GENERATED,Format: PRINT_AT_HOME,,,,,,4.55,10.00,5.01,EUR,ERP_NET,0.00,true,,,,,,,,,,,,,,,,,,,,,,,,,XeisWorks_Print@Home,,,Zusatzstimme individuell,ERP_FALLBACK,Produktpalette(1).xlsx:,,NOT_IN_XLSX_SOT,
