sku,status,record_state,title_full,title_short,code_short,ensemble,scoring,format,price_net,price_gross,tags,source_title_xlsx,source_title_wix,source_title_erp,conflict_flags,conflict_notes
XW-001,review,EXTERNAL_ONLY,Versand Ö,Versand Ö,VERSAND_OE,,,PHYSICAL,3.55,3.91,,,,Versand Ö,NOT_IN_XLSX_SOT,
XW-002,review,EXTERNAL_ONLY,Gutschrift,Gutschrift,GUTSCHRIFT,,,PHYSICAL,0.00,0.00,,,,Gutschrift,NOT_IN_XLSX_SOT,
XW-003,review,EXTERNAL_ONLY,Händler-Versand ermäßigt Ö,Händler-Versand ermäßigt Ö,HAENDLER_VERSAND_ERMAESSIGT_,,,PHYSICAL,3.00,3.30,,,,Händler-Versand ermäßigt Ö,NOT_IN_XLSX_SOT,
XW-004,review,EXTERNAL_ONLY,Ton- und Bildaufnahme,Ton- und Bildaufnahme,TON_UND_BILDAUFNAHME,,,PHYSICAL,0.00,0.00,,,,Ton- und Bildaufnahme,NOT_IN_XLSX_SOT,
XW-005,review,EXTERNAL_ONLY,Express-Versand,Express-Versand,EXPRESS_VERSAND,,,PHYSICAL,5.36,5.90,,,,Express-Versand,NOT_IN_XLSX_SOT,
XW-006,review,EXTERNAL_ONLY,Versand EU,Versand EU,VERSAND_EU,,,PHYSICAL,5.36,5.90,,,,Versand EU,NOT_IN_XLSX_SOT,
XW-007,review,EXTERNAL_ONLY,Einzelstücke,Einzelstücke,EINZELSTUECKE_P,,,PRINT_AT_HOME,13.55,14.91,,,,Einzelstücke,NOT_IN_XLSX_SOT,
XW-008,review,EXTERNAL_ONLY,Ersatzheft,Ersatzheft,ERSATZHEFT,,,PHYSICAL,12.00,13.20,,,,Ersatzheft,NOT_IN_XLSX_SOT,
XW-009,review,EXTERNAL_ONLY,Transposition,Transposition,TRANSPOSITION,,,PHYSICAL,50.00,55.00,,,,Transposition,NOT_IN_XLSX_SOT,
XW-010,review,EXTERNAL_ONLY,Div. Noten unveröffentlicht,Div. Noten unveröffentlicht,DIV_NOTEN_UNVEROEFFENTLICHT,,,PHYSICAL,45.00,49.50,B2B,,Diverse Noten unveröffentlicht,Div. Noten unveröffentlicht,NOT_IN_XLSX_SOT|PRICE_DRIFT_WIX,"Wix gross=45.00, master gross=49.50"
XW-011,review,EXTERNAL_ONLY,Div. Noten nicht mehr erhältlich,Div. Noten nicht mehr erhältlich,DIV_NOTEN_NICHT_MEHR_ERHAELT,,,PHYSICAL,36.27,39.90,B2B,,Diverse Noten eingestellt,Div. Noten nicht mehr erhältlich,NOT_IN_XLSX_SOT,
XW-012,review,EXTERNAL_ONLY,Transkription,Transkription,TRANSKRIPTION,,,PHYSICAL,50.00,55.00,,,,Transkription,NOT_IN_XLSX_SOT,
XW-013,review,EXTERNAL_ONLY,Händler-Versand ermäßigt D,Händler-Versand ermäßigt D,HAENDLER_VERSAND_ERMAESSIGT_,,,PHYSICAL,5.00,5.50,,,,Händler-Versand ermäßigt D,NOT_IN_XLSX_SOT,
XW-014,review,EXTERNAL_ONLY,Händlerversand ermäßigt EU,Händlerversand ermäßigt EU,HAENDLERVERSAND_ERMAESSIGT_E,,,PHYSICAL,5.00,5.50,,,,Händlerversand ermäßigt EU,NOT_IN_XLSX_SOT,
XW-015,review,EXTERNAL_ONLY,Diverse Noten Bläser4tett,Diverse Noten Bläser4tett,DIVERSE_NOTEN_BLAESER4TETT,,,PHYSICAL,150.00,165.00,,,,Diverse Noten Bläser4tett,NOT_IN_XLSX_SOT,
XW-016,review,EXTERNAL_ONLY,Diverse Noten Kleine Besetzung [Kleine Besetzung],Diverse Noten Kleine Besetzung [Kl.Bes.],DIVERSE_NOTEN_KLEINE_BESETZU_KB_P,Kleine Besetzung,,PRINT_AT_HOME,175.00,192.50,,,,Diverse Noten Kleine Besetzung,NOT_IN_XLSX_SOT,
XW-017,review,EXTERNAL_ONLY,Zusatzstimme individuell,Zusatzstimme individuell,ZUSATZSTIMME_INDIVIDUELL_P,,,PRINT_AT_HOME,4.55,5.01,,,,Zusatzstimme individuell,NOT_IN_XLSX_SOT,
XW-018,review,EXTERNAL_ONLY,Div. Noten Bläser5tett,Div. Noten Bläser5tett,DIV_NOTEN_BLAESER5TETT_P,,,PRINT_AT_HOME,0.00,0.00,,,,Div. Noten Bläser5tett,NOT_IN_XLSX_SOT,
XW-019,review,EXTERNAL_ONLY,CT-AZV-Spesen (Schweiz),CT-AZV-Spesen (Schweiz),CT_AZV_SPESEN_SCHWEIZ,,,PHYSICAL,3.18,3.50,,,,CT-AZV-Spesen (Schweiz),NOT_IN_XLSX_SOT,
XW-020,review,EXTERNAL_ONLY,Diverse Noten Tanzlmusi,Diverse Noten Tanzlmusi,DIVERSE_NOTEN_TANZLMUSI,,,PHYSICAL,218.18,240.00,,,,Diverse Noten Tanzlmusi,NOT_IN_XLSX_SOT,
XW-021,review,EXTERNAL_ONLY,Diverse Noten Oberkrainer,Diverse Noten Oberkrainer,DIVERSE_NOTEN_OBERKRAINER_P,,,PRINT_AT_HOME,200.00,220.00,,,,Diverse Noten Oberkrainer,NOT_IN_XLSX_SOT,
XW-022,review,EXTERNAL_ONLY,Versand DEU,Versand DEU,VERSAND_DEU,,,PHYSICAL,5.36,5.90,,,,Versand DEU,NOT_IN_XLSX_SOT,
XW-023,review,EXTERNAL_ONLY,Diverse Noten XeisWorks,Diverse Noten XeisWorks,DIVERSE_NOTEN_XEISWORKS_P,,,PRINT_AT_HOME,0.00,0.00,,,,Diverse Noten XeisWorks,NOT_IN_XLSX_SOT,
XW-024,review,EXTERNAL_ONLY,Diverse Noten MusikHeroes,Diverse Noten MusikHeroes,DiverseNotenMusikHeroes,,,PHYSICAL,0.00,0.00,,,,Diverse Noten MusikHeroes,NOT_IN_XLSX_SOT,
XW-025,review,EXTERNAL_ONLY,Diverse Noten Mittlere Besetzung,Diverse Noten Mittlere Besetzung,DIVERSE_NOTEN_MITTLERE_BESET,,,PHYSICAL,250.00,275.00,,,,Diverse Noten Mittlere Besetzung,NOT_IN_XLSX_SOT,
XW-026,review,EXTERNAL_ONLY,Gutschein,Gutschein,GUTSCHEIN,,,PHYSICAL,0.00,0.00,,,,Gutschein,NOT_IN_XLSX_SOT,
XW-027,review,EXTERNAL_ONLY,Versand EU express,Versand EU express,VERSAND_EU_EXPRESS,,,PHYSICAL,6.82,7.50,,,,Versand EU express,NOT_IN_XLSX_SOT,
XW-028,review,EXTERNAL_ONLY,Rückerstattung Zugfahrt,Rückerstattung Zugfahrt,RUECKERSTATTUNG_ZUGFAHRT,,,PHYSICAL,0.00,0.00,,,,Rückerstattung Zugfahrt,NOT_IN_XLSX_SOT,
XW-029,review,EXTERNAL_ONLY,Rückerstattung Parkgarage,Rückerstattung Parkgarage,RUECKERSTATTUNG_PARKGARAGE,,,PHYSICAL,0.00,0.00,,,,Rückerstattung Parkgarage,NOT_IN_XLSX_SOT,
XW-030,review,EXTERNAL_ONLY,Diverse Noten Große Besetzung,Diverse Noten Große Besetzung,DIVERSE_NOTEN_GROSSE_BESETZU,,,PHYSICAL,300.00,330.00,,,,Diverse Noten Große Besetzung,NOT_IN_XLSX_SOT,
XW-031,review,EXTERNAL_ONLY,Nachsendung,Nachsendung,NACHSENDUNG,,,PHYSICAL,0.00,0.00,,,,Nachsendung,NOT_IN_XLSX_SOT,
XW-032,review,EXTERNAL_ONLY,Versand Japan < 2kg,Versand Japan < 2kg,VERSAND_JAPAN_2KG,,,PHYSICAL,22.73,25.00,,,,Versand Japan < 2kg,NOT_IN_XLSX_SOT,
XW-033,review,EXTERNAL_ONLY,Digital Delivery Handling,Digital Delivery Handling,DIGITAL_DELIVERY_HANDLING,,,PHYSICAL,6.36,7.00,B2B,,Digital Delivery Handling,Digital Delivery Handling,NOT_IN_XLSX_SOT|PRICE_DRIFT_WIX,"Wix gross=5.00, master gross=7.00"
XW-034,review,EXTERNAL_ONLY,Rückerstattung Hotel,Rückerstattung Hotel,RUECKERSTATTUNG_HOTEL,,,PHYSICAL,0.00,0.00,,,,Rückerstattung Hotel,NOT_IN_XLSX_SOT,
XW-035,review,EXTERNAL_ONLY,Händlerversand ermäßigt CH,Händlerversand ermäßigt CH,HAENDLERVERSAND_ERMAESSIGT_C,,,PHYSICAL,7.90,8.69,,,,Händlerversand ermäßigt CH,NOT_IN_XLSX_SOT,
XW-036,review,EXTERNAL_ONLY,B2B Downloads,B2B Downloads,B2B_DOWNLOADS,,,DIGITAL,0.00,0.00,,,,B2B Downloads,NOT_IN_XLSX_SOT,
XW-037,review,EXTERNAL_ONLY,B2B Print-Versionen,B2B Print-Versionen,B2B_PRINT_VERSIONEN,,,PHYSICAL,0.00,0.00,,,,B2B Print-Versionen,NOT_IN_XLSX_SOT,
XW-050,review,EXTERNAL_ONLY,Komposition Folk/Pop,Komposition Folk/Pop,KOMPOSITION_FOLK_POP,,,PHYSICAL,1000.00,1100.00,,,,Komposition Folk/Pop,NOT_IN_XLSX_SOT,
XW-060,review,EXTERNAL_ONLY,Recording,Recording,RECORDING,,,PHYSICAL,0.00,0.00,,,,Recording,NOT_IN_XLSX_SOT,
XW-070,review,EXTERNAL_ONLY,Künstlerischer Auftritt,Künstlerischer Auftritt,KUENSTLERISCHER_AUFTRITT,,,PHYSICAL,0.00,0.00,,,,Künstlerischer Auftritt,NOT_IN_XLSX_SOT,
XW-071,review,EXTERNAL_ONLY,Probenpauschale,Probenpauschale,PROBENPAUSCHALE,,,PHYSICAL,0.00,0.00,,,,Probenpauschale,NOT_IN_XLSX_SOT,
XW-072,review,EXTERNAL_ONLY,Fahrtkosten,Fahrtkosten,FAHRTKOSTEN,,,PHYSICAL,0.00,0.00,,,,Fahrtkosten,NOT_IN_XLSX_SOT,
XW-077,review,EXTERNAL_ONLY,Digital-Upgrade,Digital-Upgrade,Digital-Upgrade,,,DIGITAL,9.09,10.00,,,,Digital-Upgrade,NOT_IN_XLSX_SOT,
XW-080,review,EXTERNAL_ONLY,Arrangement,Arrangement,ARRANGEMENT,,,PHYSICAL,50.00,55.00,,,,Arrangement,NOT_IN_XLSX_SOT,
XW-090,review,EXTERNAL_ONLY,Workshop Musiknotation,Workshop Musiknotation,WORKSHOP_MUSIKNOTATION,,,PHYSICAL,700.00,770.00,,,,Workshop Musiknotation,NOT_IN_XLSX_SOT,
XW-098,review,EXTERNAL_ONLY,Licensing & Watermarking,Licensing & Watermarking,LICENSING_UND_WATERMARKING,,,DIGITAL,9.09,10.00,,,,Licensing & Watermarking,NOT_IN_XLSX_SOT,
XW-099,review,EXTERNAL_ONLY,Einzelstimme,Einzelstimme,EINZELSTIMME,,,DIGITAL,8.00,8.80,,,,Einzelstimme,NOT_IN_XLSX_SOT,
XW-100.1,review,EXTERNAL_ONLY,Zusatzstimme Volksmusik,Zusatzstimme Volksmusik,ZUSATZSTIMME_VOLKSMUSIK,,,DIGITAL,7.00,7.70,,,,Zusatzstimme Volksmusik,NOT_IN_XLSX_SOT,
XW-100.2,review,EXTERNAL_ONLY,Zusatzstimme Blech4er,Zusatzstimme Blech4er,ZUSATZSTIMME_BLECH4ER,,,DIGITAL,5.00,5.50,,,,Zusatzstimme Blech4er,NOT_IN_XLSX_SOT,
XW-101,live,ACTIVE,Volksmusik - Band 1,Volksmusik - Band 1,VOLKSMUSIK_BAND_1,,,PHYSICAL,39.00,42.90,B2B,Volksmusik - Band 1,Volksmusik frisch gewaschen #1,#1 Volksmusik,TITLE_DRIFT,ERP title differs
XW-101.3,live,ACTIVE,Volksmusik - Band 1 - Zusatzstimme Horn 1 in F,Volksmusik - Band 1 - Zusatzstimme Horn 1 in F,VOLKSMUSIK_BAND_1_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 1 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#1 Volksmusik frisch gewaschen],ZST #1 Volksmusik: Hrn.1,TITLE_DRIFT,ERP title differs
XW-101.3-D,review,EXTERNAL_ONLY,ZST VM#1: Hrn. 1 in F,ZST VM#1: Hrn. 1 in F,ZST_VM_1_HRN_1_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#1: Hrn. 1 in F,NOT_IN_XLSX_SOT,
XW-101.4,live,ACTIVE,Volksmusik - Band 1 - Zusatzstimme Horn 2 in F,Volksmusik - Band 1 - Zusatzstimme Horn 2 in F,VOLKSMUSIK_BAND_1_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 2 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#1 Volksmusik frisch gewaschen],ZST #1 Volksmusik: Hrn.2,TITLE_DRIFT,ERP title differs
XW-101.4-D,review,EXTERNAL_ONLY,ZST VM#1: Hrn. 2 in F,ZST VM#1: Hrn. 2 in F,ZST_VM_1_HRN_2_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#1: Hrn. 2 in F,NOT_IN_XLSX_SOT,
XW-101.5,live,ACTIVE,Volksmusik - Band 1 - Zusatzstimme Tuba in B,Volksmusik - Band 1 - Zusatzstimme Tuba in B,VOLKSMUSIK_BAND_1_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Tuba in Bb,Zusatzstimmen TanzlMusi GEDRUCKT [#1 Volksmusik frisch gewaschen],ZST #1 Volksmusik: Tb. in Bb,TITLE_DRIFT,ERP title differs
XW-101.5-D,review,EXTERNAL_ONLY,ZST VM#1: Tuba in B,ZST VM#1: Tuba in B,ZST_VM_1_TUBA_IN_B,,,DIGITAL,7.00,7.70,,,,ZST VM#1: Tuba in Bb,NOT_IN_XLSX_SOT,
XW-101.6,live,ACTIVE,Volksmusik - Band 1 - Zusatzstimme Hrn/Btp. 1 in Es,Volksmusik - Band 1 - Zusatzstimme Hrn/Btp. 1 in Es,VOLKSMUSIK_BAND_1_ZUSATZSTIM,,,DIGITAL,7.00,7.70,,ZS - Hrn/Btp. 1 in Es,,ZST VM#1: Btp./Hrn.1 in Es,TITLE_DRIFT,ERP title differs
XW-102,live,ACTIVE,Volksmusik - Band 2,Volksmusik - Band 2,VOLKSMUSIK_BAND_2,,,PHYSICAL,39.00,42.90,B2B,Volksmusik - Band 2,Volksmusik frisch gewaschen #2,#2 Volksmusik,TITLE_DRIFT,ERP title differs
XW-102.3,live,ACTIVE,Volksmusik - Band 2 - Zusatzstimme Horn 1 in F,Volksmusik - Band 2 - Zusatzstimme Horn 1 in F,VOLKSMUSIK_BAND_2_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 1 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#2 Volksmusik frisch gewaschen],ZST #2 Volksmusik: Hrn.1,TITLE_DRIFT,ERP title differs
XW-102.3-D,review,EXTERNAL_ONLY,VM#2 - 2.Stimme: Horn 1 in F,VM#2 - 2.Stimme: Horn 1 in F,VM_2_2_STIMME_HORN_1_IN_F,,,DIGITAL,7.20,7.92,,,,VM#2 - 2.Stimme: Horn 1 in F || ZST VM#2: Hrn.1 in F,NOT_IN_XLSX_SOT|DUPLICATE_ERP_SKU,ERP SKU appears 2x
XW-102.3_D,review,EXTERNAL_ONLY,VM#2 - 2.Stimme: Horn 1 in F,VM#2 - 2.Stimme: Horn 1 in F,VM_2_2_STIMME_HORN_1_IN_F_P,,,PRINT_AT_HOME,7.00,7.70,,,,VM#2 - 2.Stimme: Horn 1 in F,NOT_IN_XLSX_SOT,
XW-102.4,live,ACTIVE,Volksmusik - Band 2 - Zusatzstimme Horn 2 in F,Volksmusik - Band 2 - Zusatzstimme Horn 2 in F,VOLKSMUSIK_BAND_2_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Horn 2 in F,Zusatzstimmen TanzlMusi GEDRUCKT [#2 Volksmusik frisch gewaschen],ZST #2 Volksmusik: Hrn.2,TITLE_DRIFT,ERP title differs
XW-102.4-D,review,EXTERNAL_ONLY,ZST VM#2: Hrn.2 in F,ZST VM#2: Hrn.2 in F,ZST_VM_2_HRN_2_IN_F,,,DIGITAL,7.00,7.70,,,,ZST VM#2: Hrn.2 in F,NOT_IN_XLSX_SOT,
XW-102.5,live,ACTIVE,Volksmusik - Band 2 - Zusatzstimme Tuba in B,Volksmusik - Band 2 - Zusatzstimme Tuba in B,VOLKSMUSIK_BAND_2_ZUSATZSTIM,,,PHYSICAL,7.00,7.70,B2B,ZS - Tuba in Bb,Zusatzstimmen TanzlMusi GEDRUCKT [#2 Volksmusik frisch gewaschen],ZST #2 Volksmusik: Tb. in Bb,TITLE_DRIFT,ERP title differs
XW-102.5-D,review,EXTERNAL_ONLY,ZST VM#2: Tuba in B,ZST VM#2: Tuba in B,ZST_VM_2_TUBA_IN_B,,,DIGITAL,7.00,7.70,,,,ZST VM#2: Tuba in Bb,NOT_IN_XLSX_SOT,
XW-102.6,live,ACTIVE,Volksmusik - Band 2 - Zusatzstimme Hrn/Btp. 1 in Es,Volksmusik - Band 2 - Zusatzstimme Hrn/Btp. 1 in Es,VOLKSMUSIK_BAND_2_ZUSATZSTIM,,,DIGITAL,7.00,7.70,,ZS - Hrn/Btp. 1 in Es,,ZST VM#2: Btp./Hrn.1 in Es,TITLE_DRIFT,ERP title differs
